State_Name,Season,Production,Best_Crop
Jharkhand,Rabi,-0.03401798461478434,Potato
Jharkhand,Winter,-0.03280603986532849,Rice
Jharkhand,Kharif,-0.03396120021257365,Arhar/Tur
Jharkhand,WholeYear,-0.033303107741016455,Sugarcane
Karnataka,Kharif,-0.033980369570142464,Maize
Karnataka,Rabi,-0.03324392497172962,Jowar
Karnataka,Summer,-0.03383891689186679,Paddy
Karnataka,WholeYear,-0.03413242826944874,Sugarcane
Kerala,WholeYear,-0.03404388850272358,Coconut
Kerala,Autumn,-0.03310329264867179,Rice
Kerala,Kharif,-0.03412463489487928,Cotton(lint)
Kerala,Summer,-0.03073346221474352,Rice
Kerala,Winter,-0.03318954714014726,Rice
MadhyaPradesh,Kharif,-0.034089535410916104,Soyabean
MadhyaPradesh,Rabi,-0.032549201295823935,Wheat
MadhyaPradesh,WholeYear,-0.03372799314705493,Sugarcane
Maharashtra,Autumn,-0.03406762020723959,Maize
Maharashtra,Kharif,-0.03376367859903085,Sugarcane
Maharashtra,Rabi,-0.021417332570578797,Jowar
Maharashtra,Summer,-0.03402150452463688,Groundnut
Maharashtra,WholeYear,-0.033083955704251336,Sugarcane
Manipur,Kharif,-0.03413254546305129,Rice
Manipur,WholeYear,-0.03413272125345511,Banana
Manipur,Autumn,-0.03412697876693025,Rice
Manipur,Rabi,-0.0341234629588538,Banana
Manipur,Summer,-0.03412580683090477,Banana
Manipur,Winter,-0.03413166651103218,Rice
Meghalaya,Kharif,-0.03412727175093662,Rice
Meghalaya,Rabi,-0.03413254546305129,Potato
Meghalaya,WholeYear,-0.03408894944290336,Potato
Meghalaya,Autumn,-0.033314065342854714,Rice
Meghalaya,Summer,-0.03412293558764234,Potato
Meghalaya,Winter,-0.03307827181452775,Rice
Mizoram,Kharif,-0.03412879526776975,Rice
Mizoram,Rabi,-0.03412428331407164,Rice
Mizoram,WholeYear,-0.031188876554245796,Rice
Nagaland,Kharif,-0.034092406654178536,Rice
Nagaland,Rabi,-0.03411936118276462,Potato
Nagaland,WholeYear,-0.0335984356194379,Sugarcane
Odisha,Autumn,-0.034089535410916104,Maize
Odisha,Rabi,-0.03412891246137229,Groundnut
Odisha,Summer,-0.03412609981491114,Rice
Odisha,WholeYear,-0.03389130243220584,Sugarcane
Odisha,Winter,-0.03412615841171241,Rice
Odisha,Kharif,-0.03383926847267444,Rice
Puducherry,Kharif,-0.03413254546305129,Sugarcane
Puducherry,Rabi,-0.03412961562298759,Rice
Puducherry,Summer,-0.03411994715077736,Paddy
Puducherry,WholeYear,-0.03411525940667543,Coconut
Puducherry,Autumn,-0.03404945519884462,Rice
Puducherry,Winter,-0.033641680058778184,Rice
Punjab,Kharif,-0.034050802925273925,Rice
Punjab,Rabi,-0.03411525940667543,Wheat
Punjab,WholeYear,-0.03401564484450947,Sugarcane
Rajasthan,Kharif,-0.032351495688325134,Bajra
Rajasthan,Rabi,-0.03243939089023628,Wheat
Rajasthan,WholeYear,-0.03411906819875825,Guarseed
Sikkim,Kharif,-0.033168921066098776,Maize
Sikkim,Rabi,-0.034117017310713656,Wheat
Sikkim,WholeYear,-0.034040255501044586,Totalfoodgrain
TamilNadu,Kharif,,Rice
TamilNadu,WholeYear,,Coconut
TamilNadu,Rabi,-0.034131783704634724,Maize
Telangana,Kharif,-0.034068381965656154,Sugarcane
Telangana,Rabi,-0.034039083565019106,Rice
Telangana,WholeYear,-0.03244525057036369,Coconut
Tripura,Kharif,-0.03412697876693025,Rice
Tripura,Rabi,-0.03413166651103218,Wheat
Tripura,WholeYear,-0.03324626884378058,Potato
UttarPradesh,Kharif,-0.033566558959544794,Sugarcane
UttarPradesh,Rabi,-0.03205716395552535,Potato
UttarPradesh,Summer,-0.034129791413391404,Maize
UttarPradesh,WholeYear,-0.010849751041603201,Sugarcane
Uttarakhand,Kharif,-0.03413272125345511,Sugarcane
Uttarakhand,Rabi,-0.03396091543211946,Wheat
Uttarakhand,WholeYear,-0.03406785459444469,Sugarcane
Uttarakhand,Summer,-0.03413236967264747,Onion
WestBengal,Autumn,-0.032149922691942244,Rice
WestBengal,Kharif,0.005567080384155219,Jute
WestBengal,Rabi,-0.0341234629588538,Oilseedstotal
WestBengal,Summer,-0.03413254546305129,Rice
WestBengal,WholeYear,-0.03405818612223446,Coconut
WestBengal,Winter,-0.011749446328365673,Potato
